Date,JUN_RD_NO_TP,JUN_RD_NO_forecaset
2023-06-01,284171,283346.2491891133
2023-06-01,284191,283423.26118872303
2023-06-01,284208,283414.3896935432
2023-06-01,284219,283451.07485587016
2023-06-01,284234,283423.2759009249
2023-06-01,284168,283459.0801575974
2023-06-01,289282,283430.9062604213
2023-06-01,284137,283466.69306556584
2023-06-01,284255,283438.5118162097
2023-06-01,284230,283474.2982791473
2023-06-01,284200,283446.1168857866
2023-06-01,284159,283481.9033420215
2023-06-01,284124,283453.7219458406
2023-06-01,284179,283489.5084019442
2023-06-01,294537,283461.327005708
2023-06-01,283091,283497.11346180906
2023-06-01,285774,283468.93206557183
2023-06-01,284160,283504.7185216728
2023-06-01,284293,283476.5371254356
2023-06-01,284239,283512.3235815366
2023-06-01,284835,283484.14218529937
2023-06-01,284338,283519.9286414004
2023-06-01,292363,283491.74724516313
2023-06-01,284304,283527.5337012641
2023-06-01,284238,283499.3523050269
2023-06-01,284405,283535.1387611279
2023-06-01,284324,283506.95736489067
2023-06-01,285820,283542.74382099166
2023-06-01,288911,283514.56242475443
2023-06-01,284408,283550.3488808554
2023-06-01,284232,283522.1674846182
2023-06-01,284449,283557.9539407192
2023-06-01,284266,283529.772544482
2023-06-01,284407,283565.55900058296
2023-06-01,284251,283537.37760434573
2023-06-01,284413,283573.1640604467
2023-06-01,298064,283544.9826642095
2023-06-01,284271,283580.7691203105
2023-06-01,283088,283552.58772407327
2023-06-01,283380,283588.37418017426
2023-06-01,290786,283560.19278393703
2023-06-01,283253,283595.979240038
2023-06-01,283285,283567.7978438008
2023-06-01,283276,283603.5842999018
2023-06-01,283259,283575.40290366457
2023-06-01,283462,283611.1893597656
2023-06-01,283291,283583.00796352833
2023-06-01,283289,283618.7944196293
2023-06-01,285042,283590.6130233921
2023-06-01,283639,283626.3994794931
2023-06-01,283418,283598.21808325587
2023-06-01,283315,283634.00453935686
2023-06-01,283726,283605.82314311963
2023-06-01,283278,283641.6095992206
2023-06-01,283277,283613.4282029834
2023-06-01,283281,283649.2146590844
2023-06-01,284355,283621.0332628472
2023-06-01,283323,283656.81971894816
2023-06-01,283257,283628.63832271093
2023-06-01,283240,283664.4247788119
2023-06-01,283265,283636.2433825747
2023-06-01,283656,283672.0298386757
2023-06-01,283122,283643.84844243847
2023-06-01,285355,283679.63489853946
2023-06-01,283147,283651.45350230223
2023-06-01,283131,283687.2399584032
2023-06-01,283143,283659.058562166
2023-06-01,283144,283694.845018267
2023-06-01,283157,283666.66362202977
2023-06-01,283170,283702.4500781308
2023-06-01,284479,283674.26868189353
2023-06-01,289676,283710.0551379945
2023-06-01,283229,283681.8737417573
2023-06-01,283766,283717.6601978583
2023-06-01,283522,283689.47880162107
2023-06-01,284263,283725.26525772206
2023-06-01,283248,283697.08386148483
2023-06-01,283233,283732.8703175858
2023-06-01,283098,283704.6889213486
2023-06-01,284308,283740.4753774496
2023-06-01,284262,283712.2939812124
2023-06-01,284344,283748.08043731336
2023-06-01,284291,283719.89904107613
2023-06-01,284108,283755.6854971771
2023-06-01,284101,283727.5041009399
2023-06-01,284070,283763.2905570409
2023-06-01,284224,283735.10916080367
2023-06-01,284047,283770.89561690466
2023-06-01,284084,283742.71422066743
2023-06-01,284012,283778.5006767684
2023-06-01,284760,283750.3192805312
2023-06-01,284187,283786.1057366322
2023-06-01,284079,283757.92434039497
2023-06-01,284010,283793.710796496
2023-06-01,284140,283765.52940025873
2023-06-01,287667,283801.3158563597
2023-06-01,284106,283773.1344601225
2023-06-01,286460,283808.9209162235
2023-06-01,284694,283780.73951998627
2023-06-01,284018,283816.52597608726
2023-06-01,285013,283788.34457985003
2023-06-01,284058,283824.131035951
2023-06-01,283300,283795.9496397138
2023-06-01,284067,283831.7360958148
2023-06-01,283942,283803.5546995776
2023-06-01,284019,283839.34115567856
2023-06-01,284025,283811.15975944133
2023-06-01,284039,283846.9462155423
2023-06-01,292896,283818.7648193051
2023-06-01,284209,283854.5512754061
2023-06-01,283978,283826.36987916887
2023-06-01,284069,283862.15633526986
2023-06-01,284066,283833.97493903263
2023-06-01,284083,283869.7613951336
2023-06-01,284284,283841.5799988964
2023-06-01,284118,283877.3664549974
2023-06-01,284043,283849.18505876017
2023-06-01,284011,283884.9715148612
2023-06-01,284060,283856.79011862393
2023-06-01,284368,283892.5765747249
2023-06-01,284115,283864.3951784877
2023-06-01,284116,283900.1816345887
2023-06-01,284080,283872.00023835147
2023-06-01,284427,283907.78669445246
2023-06-01,284421,283879.60529821523
2023-06-01,284400,283915.3917543162
2023-06-01,284416,283887.210358079
2023-06-01,285112,283922.99681418
2023-06-01,284410,283894.8154179428
2023-06-01,284386,283930.60187404376
2023-06-01,284438,283902.42047780653
2023-06-01,284385,283938.2069339075
2023-06-01,284376,283910.0255376703
2023-06-01,284611,283945.8119937713
2023-06-01,284365,283917.63059753407
2023-06-01,284396,283953.41705363506
2023-06-01,284389,283925.23565739783
2023-06-01,284757,283961.0221134988
2023-06-01,284361,283932.8407172616
2023-06-01,384342,283968.6271733626
2023-06-01,284420,283940.44577712537
2023-06-01,287515,283976.2322332264
2023-06-01,284459,283948.05083698913
2023-06-01,284460,283983.8372930901
2023-06-01,284240,283955.6558968529
2023-06-01,284717,283991.4423529539
2023-06-01,284089,283963.26095671667
2023-06-01,284141,283999.04741281766
2023-06-01,284198,283970.86601658043
